Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2021-07-07 18:35:21,"Push - Shoulder",31m,"Overhead Press (Barbell)",1,52.163122550000004,4,0,0,"","",
2021-07-07 18:35:21,"Push - Shoulder",31m,"Overhead Press (Barbell)",2,52.163122550000004,4,0,0,,,
2021-07-07 18:35:21,"Push - Shoulder",31m,"Overhead Press (Barbell)",3,52.163122550000004,4,0,0,,,
2021-07-07 18:35:21,"Push - Shoulder",31m,"Overhead Press (Barbell)",4,52.163122550000004,3,0,0,,,
2021-07-07 18:35:21,"Push - Shoulder",31m,"Bench Press (Barbell)",1,61.23496995,10,0,0,"",,
2021-07-07 18:35:21,"Push - Shoulder",31m,"Bench Press (Barbell)",2,70.30681735,7,0,0,,,
2021-07-07 18:35:21,"Push - Shoulder",31m,"Bench Press (Barbell)",3,61.23496995,7,0,0,,,
2021-07-07 18:35:21,"Push - Shoulder",31m,"Cable Crossover",1,25.0,10,0,0,"",,
2021-07-07 18:35:21,"Push - Shoulder",31m,"Cable Crossover",2,25.0,10,0,0,,,
2021-07-07 18:35:21,"Push - Shoulder",31m,"Cable Crossover",3,25.0,10,0,0,,,
2021-07-07 18:35:21,"Push - Shoulder",31m,"Lateral Raise (Dumbbell)",1,20.0,21,0,0,"7/7/7, [full rom][upper][lower]",,
2021-07-07 18:35:21,"Push - Shoulder",31m,"Lateral Raise (Dumbbell)",2,20.0,21,0,0,,,
2021-07-07 18:35:21,"Push - Shoulder",31m,"Lateral Raise (Dumbbell)",3,15.0,21,0,0,,,
2021-07-08 18:09:30,"Pull - Lat",41m,"Pull Up",1,0,8,0,0,"","",
2021-07-08 18:09:30,"Pull - Lat",41m,"Pull Up",2,0,8,0,0,,,
2021-07-08 18:09:30,"Pull - Lat",41m,"Pull Up",3,0,8,0,0,,,
2021-07-08 18:09:30,"Pull - Lat",41m,"Chin Up",1,0,6,0,0,"",,
2021-07-08 18:09:30,"Pull - Lat",41m,"Chin Up",2,0,6,0,0,,,
2021-07-08 18:09:30,"Pull - Lat",41m,"Chin Up",3,0,6,0,0,,,
2021-07-08 18:09:30,"Pull - Lat",41m,"Seated Row (Cable)",1,140.0,10,0,0,"",,
2021-07-08 18:09:30,"Pull - Lat",41m,"Seated Row (Cable)",2,140.0,6,0,0,,,
2021-07-08 18:09:30,"Pull - Lat",41m,"Seated Row (Cable)",3,120.0,10,0,0,,,
2021-07-08 18:09:30,"Pull - Lat",41m,"T Bar Row",1,90.0,8,0,0,"",,
2021-07-08 18:09:30,"Pull - Lat",41m,"T Bar Row",2,90.0,8,0,0,,,
2021-07-08 18:09:30,"Pull - Lat",41m,"T Bar Row",3,90.0,8,0,0,,,
2021-07-08 18:09:30,"Pull - Lat",41m,"Cross Body Curl",1,30.0,10,0,0,"Cheat curls",,
2021-07-08 18:09:30,"Pull - Lat",41m,"Cross Body Curl",2,30.0,10,0,0,,,
2021-07-08 18:09:30,"Pull - Lat",41m,"Cross Body Curl",3,30.0,10,0,0,,,
2021-07-09 18:00:00,"Legs - Squat",1h,"Squat (Barbell)",1,120.20197805000001,4,0,0,"","",
2021-07-09 18:00:00,"Legs - Squat",1h,"Squat (Barbell)",2,120.20197805000001,4,0,0,,,
2021-07-09 18:00:00,"Legs - Squat",1h,"Squat (Barbell)",3,120.20197805000001,4,0,0,,,
2021-07-09 18:00:00,"Legs - Squat",1h,"Leg Extension (Machine)",1,149.99999999999997,8,0,0,"",,
2021-07-09 18:00:00,"Legs - Squat",1h,"Leg Extension (Machine)",2,149.99999999999997,8,0,0,,,
2021-07-09 18:00:00,"Legs - Squat",1h,"Leg Extension (Machine)",3,149.99999999999997,8,0,0,,,
2021-07-09 18:00:00,"Legs - Squat",1h,"Glute Ham Raise",1,0.0,8,0,0,"",,
2021-07-09 18:00:00,"Legs - Squat",1h,"Glute Ham Raise",2,0.0,8,0,0,,,
2021-07-09 18:00:00,"Legs - Squat",1h,"Glute Ham Raise",3,0.0,8,0,0,,,
2021-07-09 18:00:00,"Legs - Squat",1h,"Seated Calf Raise (Plate Loaded)",1,70.0,8,0,0,"",,
2021-07-09 18:00:00,"Legs - Squat",1h,"Seated Calf Raise (Plate Loaded)",2,70.0,8,0,0,,,
2021-07-09 18:00:00,"Legs - Squat",1h,"Seated Calf Raise (Plate Loaded)",3,70.0,8,0,0,,,
2021-07-12 18:10:00,"Pull - Mid Back",40m,"L-Sit Chin up",1,0,8,0,0,"","",
2021-07-12 18:10:00,"Pull - Mid Back",40m,"L-Sit Chin up",2,0,8,0,0,,,
2021-07-12 18:10:00,"Pull - Mid Back",40m,"L-Sit Chin up",3,0,8,0,0,,,
2021-07-12 18:10:00,"Pull - Mid Back",40m,"Seated Row (Machine)",1,105.0,12,0,0,"",,
2021-07-12 18:10:00,"Pull - Mid Back",40m,"Seated Row (Machine)",2,105.0,12,0,0,,,
2021-07-12 18:10:00,"Pull - Mid Back",40m,"Seated Row (Machine)",3,105.0,12,0,0,,,
2021-07-12 18:10:00,"Pull - Mid Back",40m,"Face Pull (Cable)",1,15.0,18,0,0,"Emphasize rotator cuff",,
2021-07-12 18:10:00,"Pull - Mid Back",40m,"Face Pull (Cable)",2,15.0,18,0,0,,,
2021-07-12 18:10:00,"Pull - Mid Back",40m,"Face Pull (Cable)",3,15.0,18,0,0,,,
2021-07-12 18:10:00,"Pull - Mid Back",40m,"Reverse Curl (Barbell)",1,50.0,10,0,0,"",,
2021-07-12 18:10:00,"Pull - Mid Back",40m,"Reverse Curl (Barbell)",2,50.0,10,0,0,,,
2021-07-12 18:10:00,"Pull - Mid Back",40m,"Reverse Curl (Barbell)",3,50.0,10,0,0,,,
